"Transcript ID","Name","bp","Protein","Translation ID","Biotype","CCDS","UniProt Match","RefSeq Match","Flags"
"ENST00000378747.8","OPTN-202","3479","577aa","ENSP00000368021.3"," Protein coding","CCDS7094","Q96CV9-1","NM_001008212.2","MANE Select, Ensembl Canonical, GENCODE Primary, GENCODE Basic, APPRIS  P3, TSL:1, "
"ENST00000378748.7","OPTN-203","3521","577aa","ENSP00000368022.3"," Protein coding","CCDS7094","Q96CV9-1","-","GENCODE Primary, GENCODE Basic, APPRIS  P3, TSL:1, "
"ENST00000378752.7","OPTN-204","3488","571aa","ENSP00000368027.3"," Protein coding","","Q96CV9-2","-","GENCODE Primary, GENCODE Basic, APPRIS  ALT1, TSL:1, "
"ENST00000378757.6","OPTN-205","3321","577aa","ENSP00000368032.2"," Protein coding","CCDS7094","Q96CV9-1","-","GENCODE Primary, GENCODE Basic, APPRIS  P3, TSL:1, "
"ENST00000378764.6","OPTN-206","2498","571aa","ENSP00000368040.1"," Protein coding","","Q96CV9-2","-","GENCODE Basic, APPRIS  ALT1, TSL:5, "
"ENST00000263036.9","OPTN-201","2464","577aa","ENSP00000263036.3"," Protein coding","CCDS7094","Q96CV9-1","-","GENCODE Basic, APPRIS  P3, TSL:2, "
"ENST00000424614.1","OPTN-207","664","126aa","ENSP00000400356.1"," Protein coding","","H7C1H4","-","TSL:3, CDS 5' incomplete, "
"ENST00000486862.1","OPTN-211","423","107aa","ENSP00000481473.1"," Protein coding","","A0A087WY28","-","TSL:3, CDS 5' incomplete, "
"ENST00000430081.5","OPTN-208","848","62aa","ENSP00000414747.2"," Nonsense mediated decay","","X6RKL2","-","TSL:5, "
"ENST00000482140.5","OPTN-210","667","58aa","ENSP00000484961.1"," Nonsense mediated decay","","A0A087X2G2","-","TSL:3, "
"ENST00000469025.1","OPTN-209","642","No protein","-"," Protein coding CDS not defined","","-","-","TSL:3, "
"ENST00000487935.1","OPTN-212","511","No protein","-"," Protein coding CDS not defined","","-","-","TSL:3, "
