"Transcript ID","Name","bp","Protein","Translation ID","Biotype","CCDS","UniProt Match","RefSeq Match","Flags"
"ENST00000367400.8","CRB1-203","4958","1406aa","ENSP00000356370.3"," Protein coding","CCDS1390","P82279-1","NM_201253.3","MANE Select, Ensembl Canonical, GENCODE Primary, GENCODE Basic, APPRIS  P1, TSL:1, "
"ENST00000367397.1","CRB1-201","9023","674aa","ENSP00000356367.1"," Protein coding","","A0A075B6G4","-","GENCODE Basic, TSL:2, "
"ENST00000535699.5","CRB1-209","5140","1382aa","ENSP00000438786.1"," Protein coding","CCDS58053","F5H0L2","-","GENCODE Basic, TSL:5, "
"ENST00000638467.1","CRB1-211","4348","1376aa","ENSP00000491102.1"," Protein coding","","P82279-2","-","GENCODE Basic, TSL:1, "
"ENST00000367399.6","CRB1-202","3885","1294aa","ENSP00000356369.2"," Protein coding","CCDS53454","P82279-3","-","GENCODE Primary, GENCODE Basic, TSL:1, "
"ENST00000538660.5","CRB1-210","3397","870aa","ENSP00000438091.1"," Protein coding","CCDS58052","P82279-5","-","GENCODE Primary, GENCODE Basic, TSL:2, "
"ENST00000681519.1","CRB1-212","3207","1003aa","ENSP00000505267.1"," Protein coding","","A0A7D6VLH9","-","GENCODE Basic, "
"ENST00000448952.1","CRB1-204","1031","42aa","ENSP00000395407.1"," Protein coding","","A0A0C4DG35","-","TSL:1, CDS 5' incomplete, "
"ENST00000484075.5","CRB1-208","5174","1376aa","ENSP00000433932.1"," Nonsense mediated decay","","P82279-2","-","TSL:1, "
"ENST00000476483.1","CRB1-206","573","No protein","-"," Protein coding CDS not defined","","-","-","TSL:2, "
"ENST00000480086.2","CRB1-207","413","No protein","-"," Protein coding CDS not defined","","-","-","TSL:4, "
"ENST00000475659.1","CRB1-205","2423","No protein","-"," Retained intron","","-","-","TSL:1, "
