"Transcript ID","Name","bp","Protein","Translation ID","Biotype","CCDS","UniProt Match","RefSeq Match","Flags"
"ENST00000645032.1","RPGR-216","4733","1152aa","ENSP00000495537.1"," Protein coding","CCDS35229","Q92834-6","NM_001034853.2","MANE Select, Ensembl Canonical, GENCODE Primary, GENCODE Basic, APPRIS  ALT2, "
"ENST00000339363.7","RPGR-201","3686","1020aa","ENSP00000343671.3"," Protein coding","","Q92834-1","-","GENCODE Basic, APPRIS  P4, TSL:5, "
"ENST00000642395.2","RPGR-211","3053","815aa","ENSP00000493468.2"," Protein coding","CCDS14246","Q92834-2","-","GENCODE Basic, APPRIS  ALT2, "
"ENST00000644337.1","RPGR-215","2559","753aa","ENSP00000494557.1"," Protein coding","CCDS94589","Q92834-4","-","GENCODE Basic, "
"ENST00000644238.1","RPGR-214","2301","642aa","ENSP00000496728.1"," Protein coding","CCDS94588","A0A2R8YFT6","-","GENCODE Primary, GENCODE Basic, "
"ENST00000647261.1","RPGR-219","1325","325aa","ENSP00000493681.1"," Protein coding","","A0A2R8Y4C9","-","GENCODE Basic, "
"ENST00000642558.1","RPGR-212","1286","379aa","ENSP00000496427.1"," Protein coding","","A0A2R8YGY6","-","CDS 3' incomplete, "
"ENST00000494707.6","RPGR-207","1245","415aa","ENSP00000417336.2"," Protein coding","","H7C4H4","-","TSL:5, CDS 5' and 3' incomplete, "
"ENST00000464437.1","RPGR-202","428","129aa","ENSP00000417574.1"," Protein coding","","H7C4L1","-","TSL:3, CDS 5' incomplete, "
"ENST00000646020.1","RPGR-218","2924","508aa","ENSP00000494745.1"," Nonsense mediated decay","","A0A2R8YDN2","-","-"
"ENST00000482855.5","RPGR-206","2819","646aa","ENSP00000419276.1"," Nonsense mediated decay","","Q92834-3","-","TSL:2, "
"ENST00000642739.1","RPGR-213","2766","673aa","ENSP00000493596.1"," Nonsense mediated decay","","A0A2R8Y414","-","-"
"ENST00000645124.1","RPGR-217","2532","540aa","ENSP00000496446.1"," Nonsense mediated decay","","A0A2R8Y838","-","-"
"ENST00000474584.5","RPGR-204","2268","480aa","ENSP00000418926.1"," Nonsense mediated decay","","Q92834-5","-","TSL:2, "
"ENST00000642373.1","RPGR-210","1113","167aa","ENSP00000496030.1"," Nonsense mediated decay","","A0A2R8YF02","-","-"
"ENST00000642170.1","RPGR-209","2872","No protein","-"," Protein coding CDS not defined","","-","-","-"
"ENST00000476559.2","RPGR-205","1047","No protein","-"," Retained intron","","-","-","TSL:2, "
"ENST00000494841.1","RPGR-208","653","No protein","-"," Retained intron","","-","-","TSL:1, "
"ENST00000470183.1","RPGR-203","382","No protein","-"," Retained intron","","-","-","TSL:2, "
